"CustomerID";"FirstName";"LastName";"Email";"Phone"
1;"Ha";"Long";"halong@email.com";"090-7503-157"
2;"Vu";"Thanh";"vuthanh@email.com";"090-7503-158"
3;"Do";"Thuong";"dothuong@email.com";"090-7503-159"
4;"Tran";"Van";"tranvan@email.com";"090-7503-160"
5;"Nguyen";"Thi";"nguyenthi@email.com";"090-7503-161"
6;"Le";"Quoc C";"lequocc@email.com";"090-7503-162"
7;"Nguyen";"Van";"nguyenvan@email.com";"090-7503-163"
8;"Tran";"Thi";"tranthi@email.com";"090-7503-164"
9;"Le";"Quang";"lequang@email.com";"090-7503-165"
10;"Pham";"Dinh";"phamdinh@email.com";"090-7503-166"
